"lang"
{ 
	"Language" "schinese" 
	"DOTA_Tooltip_ability_item_bash_legendary_bash_chance" 	 "%<font color='#ff8d03'>击晕几率：</font>"
	"DOTA_Tooltip_ability_item_bash_legendary_bash_duration" 	 "<font color='#ff8d03'>BASH 持续时间：</font>"
			
//================================================================================================SET ITEMS================================================================================================	
			
	"DOTA_Tooltip_ability_item_bones" 	 "怪物的骨头"
	"DOTA_Tooltip_ability_item_bones_Description" 	 "拿 5 根骨头给商人"
			
	"DOTA_Tooltip_ability_item_golden_skull" 	 "黄金骷髅"
	"DOTA_Tooltip_ability_item_golden_skull_Description" 	 "开启通往黄金魔物施法者的通道"
			
	"DOTA_Tooltip_ability_item_egg" 	 "金蛋"
	"DOTA_Tooltip_ability_item_egg_Description" 	 "召唤一个随机的金色怪物"
			
	"DOTA_Tooltip_ability_item_kamen_boga" 	 "上帝之石"
	"DOTA_Tooltip_ability_item_kamen_boga_Description" 	 "上帝之石可以升级金色怪物掉落的装备！"
								
	"DOTA_Tooltip_ability_item_set_boots_str_1_set_1" 	 "<font color='#9500ff'>古代角斗士靴</font>"
	"DOTA_Tooltip_ability_item_set_boots_str_1_set_1_Description" 	 "一套强大的古董角斗士盔甲的一部分。集齐所有部件将使你坚不可摧！
 <font color='#FF0000'>Only heroes with the main attribute STRENGTH will receive the set bonus!</font>"	
	"DOTA_Tooltip_ability_item_set_boots_str_1_set_1_bonus_speed" 	 "移动速度加成："
	"DOTA_Tooltip_ability_item_set_boots_str_1_set_1_bonus_armor" 	 "额外护甲："
	"DOTA_Tooltip_ability_item_set_boots_str_1_set_1_bonus_str" 	 "额外力量："
	"DOTA_Tooltip_ability_item_set_boots_str_1_set_1_Lore" 	 "<font color='#0078bd'>两件套效果：</font> \和<font color='#00cc15'>最大生命值：100 * 英雄等级</font> <br>
			<font color='#0078bd'>三件套效果:</font> <br> <font color='#00cc15'>获得全属性加成：2*英雄等级</font> <br> 
			<font color='#0078bd'>四件套效果:</font> <br> <font color='#00cc15'>生命恢复速度+75%</font> <br> 
			<font color='#0078bd'>五件套效果:</font> <br> <font color='#00cc15'>拥有2*英雄等级的概率格挡50点伤害</font> <br> 
			<font color='#0078bd'>六件套效果:</font> <br> <font color='#00cc15'>降低受到所有伤害的25%</font> <br>"
								
	"DOTA_Tooltip_ability_item_set_head_str_1_set_1" 	 "<font color='#9500ff'>古代角斗士头盔</font>"
	"DOTA_Tooltip_ability_item_set_head_str_1_set_1_Description" 	 "一套强大的古董角斗士盔甲的一部分。集齐所有部件将使你坚不可摧！
 <font color='#FF0000'>Only heroes with the main attribute STRENGTH will receive the set bonus!</font>"
	"DOTA_Tooltip_ability_item_set_head_str_1_set_1_bonus_mana" 	 "额外法力值："
	"DOTA_Tooltip_ability_item_set_head_str_1_set_1_bonus_armor" 	 "额外护甲："
	"DOTA_Tooltip_ability_item_set_head_str_1_set_1_bonus_str" 	 "额外力量："
	"DOTA_Tooltip_ability_item_set_head_str_1_set_1_Lore" 	 "<font color='#0078bd'>两件套效果：</font> \和<font color='#00cc15'>最大生命值：100 * 英雄等级</font> <br>
			<font color='#0078bd'>三件套效果:</font> <br> <font color='#00cc15'>获得全属性加成：2*英雄等级</font> <br> 
			<font color='#0078bd'>四件套效果:</font> <br> <font color='#00cc15'>生命恢复速度+75%</font> <br> 
			<font color='#0078bd'>五件套效果:</font> <br> <font color='#00cc15'>拥有2*英雄等级的概率格挡50点伤害</font> <br> 
			<font color='#0078bd'>六件套效果:</font> <br> <font color='#00cc15'>降低受到所有伤害的25%</font> <br>"
			
	"DOTA_Tooltip_ability_item_set_glov_str_1_set_1" 	 "<font color='#9500ff'>古代角斗士护腕</font>"
	"DOTA_Tooltip_ability_item_set_glov_str_1_set_1_Description" 	 "一套强大的古代角斗士盔甲的一部分。集齐所有部件将使你坚不可摧！
 <font color='#FF0000'>Only heroes with the main attribute STRENGTH will receive the set bonus!</font>"	
	"DOTA_Tooltip_ability_item_set_glov_str_1_set_1_bonus_attack_speed" 	 "攻速加成："
	"DOTA_Tooltip_ability_item_set_glov_str_1_set_1_bonus_armor" 	 "额外护甲："
	"DOTA_Tooltip_ability_item_set_glov_str_1_set_1_bonus_str" 	 "额外力量："
	"DOTA_Tooltip_ability_item_set_glov_str_1_set_1_Lore" 	 "<font color='#0078bd'>两件套效果：</font> \和<font color='#00cc15'>最大生命值：100 * 英雄等级</font> <br>
			<font color='#0078bd'>三件套效果:</font> <br> <font color='#00cc15'>获得全属性加成：2*英雄等级</font> <br> 
			<font color='#0078bd'>四件套效果:</font> <br> <font color='#00cc15'>生命恢复速度+75%</font> <br> 
			<font color='#0078bd'>五件套效果:</font> <br> <font color='#00cc15'>拥有2*英雄等级的概率格挡50点伤害</font> <br> 
			<font color='#0078bd'>六件套效果:</font> <br> <font color='#00cc15'>降低受到所有伤害的25%</font> <br>"
					
	"DOTA_Tooltip_ability_item_set_armor_str_1_set_1" 	 "<font color='#9500ff'>古代角斗士之甲</font>"
	"DOTA_Tooltip_ability_item_set_armor_str_1_set_1_Description" 	 "一套强大的古代角斗士盔甲的一部分。集齐所有部件将使你坚不可摧！
 <font color='#FF0000'>Only heroes with the main attribute STRENGTH will receive the set bonus!</font> "		
	"DOTA_Tooltip_ability_item_set_armor_str_1_set_1_bonus_hp_reg" 	 "每秒生命值恢复百分比："
	"DOTA_Tooltip_ability_item_set_armor_str_1_set_1_bonus_armor" 	 "额外护甲："
	"DOTA_Tooltip_ability_item_set_armor_str_1_set_1_bonus_str" 	 "额外力量："
	"DOTA_Tooltip_ability_item_set_armor_str_1_set_1_Lore" 	 "<font color='#0078bd'>两件套效果：</font> \和<font color='#00cc15'>最大生命值：100 * 英雄等级</font> <br>
			<font color='#0078bd'>三件套效果:</font> <br> <font color='#00cc15'>获得全属性加成：2*英雄等级</font> <br> 
			<font color='#0078bd'>四件套效果:</font> <br> <font color='#00cc15'>生命恢复速度+75%</font> <br> 
			<font color='#0078bd'>五件套效果:</font> <br> <font color='#00cc15'>拥有2*英雄等级的概率格挡50点伤害</font> <br> 
			<font color='#0078bd'>六件套效果:</font> <br> <font color='#00cc15'>降低受到所有伤害的25%</font> <br>"
			
	"DOTA_Tooltip_ability_item_set_shield_str_1_set_1" 	 "<font color='#9500ff'>古代角斗士盾牌</font>"
	"DOTA_Tooltip_ability_item_set_shield_str_1_set_1_Description" 	 "一套强大的古代角斗士盔甲的一部分。集齐所有部件将使你坚不可摧！
 <font color='#FF0000'>Only heroes with the main attribute STRENGTH will receive the set bonus!</font>"	
	"DOTA_Tooltip_ability_item_set_shield_str_1_set_1_bonus_mag_armor" 	 "%额外魔法抗性："
	"DOTA_Tooltip_ability_item_set_shield_str_1_set_1_bonus_armor" 	 "额外护甲："
	"DOTA_Tooltip_ability_item_set_shield_str_1_set_1_bonus_str" 	 "额外力量："
	"DOTA_Tooltip_ability_item_set_shield_str_1_set_1_Lore" 	 "<font color='#0078bd'>两件套效果：</font> \和<font color='#00cc15'>最大生命值：100 * 英雄等级</font> <br>
			<font color='#0078bd'>三件套效果:</font> <br> <font color='#00cc15'>获得全属性加成：2*英雄等级</font> <br> 
			<font color='#0078bd'>四件套效果:</font> <br> <font color='#00cc15'>生命恢复速度+75%</font> <br> 
			<font color='#0078bd'>五件套效果:</font> <br> <font color='#00cc15'>拥有2*英雄等级的概率格挡50点伤害</font> <br> 
			<font color='#0078bd'>六件套效果:</font> <br> <font color='#00cc15'>降低受到所有伤害的25%</font> <br>"
			
	"DOTA_Tooltip_ability_item_set_weapon_str_1_set_1" 	 "<font color='#9500ff'>古代角斗士斧</font>"
	"DOTA_Tooltip_ability_item_set_weapon_str_1_set_1_Description" 	 "一套强大的古代角斗士盔甲的一部分。集齐所有部件将使你坚不可摧！
 <font color='#FF0000'>Only heroes with the main attribute STRENGTH will receive the set bonus!</font>"	
	"DOTA_Tooltip_ability_item_set_weapon_str_1_set_1_bonus_dmg" 	 "攻击力加成："
	"DOTA_Tooltip_ability_item_set_weapon_str_1_set_1_bonus_life" 	 "%额外生命偷取："
	"DOTA_Tooltip_ability_item_set_weapon_str_1_set_1_bonus_str" 	 "额外力量："
	"DOTA_Tooltip_ability_item_set_weapon_str_1_set_1_Lore" 	 "<font color='#0078bd'>两件套效果：</font> \和<font color='#00cc15'>最大生命值：100 * 英雄等级</font> <br>
			<font color='#0078bd'>三件套效果:</font> <br> <font color='#00cc15'>获得全属性加成：2*英雄等级</font> <br> 
			<font color='#0078bd'>四件套效果:</font> <br> <font color='#00cc15'>生命恢复速度+75%</font> <br> 
			<font color='#0078bd'>五件套效果:</font> <br> <font color='#00cc15'>拥有2*英雄等级的概率格挡50点伤害</font> <br> 
			<font color='#0078bd'>六件套效果:</font> <br> <font color='#00cc15'>降低受到所有伤害的25%</font> <br>"
			
	
//==========================================================================================================================================================================================================

	"DOTA_Tooltip_ability_item_set_boots_agi_1_set_1" 	 "<font color='#9500ff'>古代刺客之靴</font>"
	"DOTA_Tooltip_ability_item_set_boots_agi_1_set_1_Description" 	 "一套强大的古代刺客盔甲的一部分。集齐它的所有部件会让你的敌人胆战心惊！
 <font color='#00cc15'>Only heroes with the primary attribute Agility will receive the set bonus!</font>"	
	"DOTA_Tooltip_ability_item_set_boots_agi_1_set_1_bonus_speed" 	 "%额外移动速度："
	"DOTA_Tooltip_ability_item_set_boots_agi_1_set_1_bonus_armor" 	 "额外护甲："
	"DOTA_Tooltip_ability_item_set_boots_agi_1_set_1_bonus_agi" 	 "额外敏捷："
	"DOTA_Tooltip_ability_item_set_boots_agi_1_set_1_Lore" 	 "<font color='#0078bd'>两件套效果：</font> \和<font color='#00cc15'>法力和生命恢复：2 * 英雄等级</font> <br>
			<font color='#0078bd'>三件套效果:</font> <br> <font color='#00cc15'>获得全属性加成：3*英雄等级</font> <br> 
			<font color='#0078bd'>四件套效果:</font> <br> <font color='#00cc15'>获得攻速加成：3*英雄等级</font> <br> 
			<font color='#0078bd'>五件套效果:</font> <br> <font color='#00cc15'>有1*英雄等级%的概率造成2倍暴击</font> <br> 
			<font color='#0078bd'>六件套效果:</font> <br> <font color='#00cc15'>获得基础攻击力加成：20*英雄等级</font> <br>"
			
	"DOTA_Tooltip_ability_item_set_head_agi_1_set_1" 	 "<font color='#9500ff'>古代刺客头盔</font>"
	"DOTA_Tooltip_ability_item_set_head_agi_1_set_1_Description" 	 "一套强大的古代刺客盔甲的一部分。集齐它的所有部件会让你的敌人胆战心惊！
 <font color='#00cc15'>Only heroes with the primary attribute Agility will receive the set bonus!</font>"	
	"DOTA_Tooltip_ability_item_set_head_agi_1_set_1_bonus_mana" 	 "法力上限："
	"DOTA_Tooltip_ability_item_set_head_agi_1_set_1_bonus_armor" 	 "额外护甲："
	"DOTA_Tooltip_ability_item_set_head_agi_1_set_1_bonus_agi" 	 "额外敏捷："
	"DOTA_Tooltip_ability_item_set_head_agi_1_set_1_Lore" 	 "<font color='#0078bd'>两件套效果：</font> \和<font color='#00cc15'>法力和生命恢复：2 * 英雄等级</font> <br>
			<font color='#0078bd'>三件套效果:</font> <br> <font color='#00cc15'>获得全属性加成：3*英雄等级</font> <br> 
			<font color='#0078bd'>四件套效果:</font> <br> <font color='#00cc15'>获得攻速加成：3*英雄等级</font> <br> 
			<font color='#0078bd'>五件套效果:</font> <br> <font color='#00cc15'>有1*英雄等级%的概率造成2倍暴击</font> <br> 
			<font color='#0078bd'>六件套效果:</font> <br> <font color='#00cc15'>获得基础攻击力加成：20*英雄等级</font> <br>"

	"DOTA_Tooltip_ability_item_set_glov_agi_1_set_1" 	 "<font color='#9500ff'>古代刺客手套</font>"
	"DOTA_Tooltip_ability_item_set_glov_agi_1_set_1_Description" 	 "一套强大的古代刺客盔甲的一部分。集齐它的所有部件会让你的敌人胆战心惊！
 <font color='#00cc15'>Only heroes with the primary attribute Agility will receive the set bonus!</font>"	
	"DOTA_Tooltip_ability_item_set_glov_agi_1_set_1_bonus_attack_speed" 	 "攻速加成："
	"DOTA_Tooltip_ability_item_set_glov_agi_1_set_1_bonus_armor" 	 "额外护甲："
	"DOTA_Tooltip_ability_item_set_glov_agi_1_set_1_bonus_agi" 	 "额外敏捷："
	"DOTA_Tooltip_ability_item_set_glov_agi_1_set_1_Lore" 	 "<font color='#0078bd'>两件套效果：</font> \和<font color='#00cc15'>法力和生命恢复：2 * 英雄等级</font> <br>
			<font color='#0078bd'>三件套效果:</font> <br> <font color='#00cc15'>获得全属性加成：3*英雄等级</font> <br> 
			<font color='#0078bd'>四件套效果:</font> <br> <font color='#00cc15'>获得攻速加成：3*英雄等级</font> <br> 
			<font color='#0078bd'>五件套效果:</font> <br> <font color='#00cc15'>有1*英雄等级%的概率造成2倍暴击</font> <br> 
			<font color='#0078bd'>六件套效果:</font> <br> <font color='#00cc15'>获得基础攻击力加成：20*英雄等级</font> <br>"
			
	"DOTA_Tooltip_ability_item_set_armor_agi_1_set_1" 	 "<font color='#9500ff'>古代刺客盔甲</font>"
	"DOTA_Tooltip_ability_item_set_armor_agi_1_set_1_Description" 	 "一套强大的古代刺客盔甲的一部分。集齐它的所有部件会让你的敌人胆战心惊！
 <font color='#00cc15'>Only heroes with the primary attribute Agility will receive the set bonus!</font> <br> Increases all passive health regeneration by %bonus_hp_ampl%%%"	
	"DOTA_Tooltip_ability_item_set_armor_agi_1_set_1_bonus_hp_reg" 	 "每秒生命值恢复百分比："
	"DOTA_Tooltip_ability_item_set_armor_agi_1_set_1_bonus_armor" 	 "额外护甲："
	"DOTA_Tooltip_ability_item_set_armor_agi_1_set_1_bonus_agi" 	 "额外敏捷："
	"DOTA_Tooltip_ability_item_set_armor_agi_1_set_1_Lore" 	 "<font color='#0078bd'>两件套效果：</font> \和<font color='#00cc15'>法力和生命恢复：2 * 英雄等级</font> <br>
			<font color='#0078bd'>三件套效果:</font> <br> <font color='#00cc15'>获得全属性加成：3*英雄等级</font> <br> 
			<font color='#0078bd'>四件套效果:</font> <br> <font color='#00cc15'>获得攻速加成：3*英雄等级</font> <br> 
			<font color='#0078bd'>五件套效果:</font> <br> <font color='#00cc15'>有1*英雄等级%的概率造成2倍暴击</font> <br> 
			<font color='#0078bd'>六件套效果:</font> <br> <font color='#00cc15'>获得基础攻击力加成：20*英雄等级</font> <br>"
			
	"DOTA_Tooltip_ability_item_set_shield_agi_1_set_1" 	 "<font color='#9500ff'>古代刺客护腿</font>"
	"DOTA_Tooltip_ability_item_set_shield_agi_1_set_1_Description" 	 "一套强大的古代刺客盔甲的一部分。集齐它的所有部件会让你的敌人胆战心惊！
 <font color='#00cc15'>Only heroes with the primary attribute Agility will receive the set bonus!</font>"	
	"DOTA_Tooltip_ability_item_set_shield_agi_1_set_1_bonus_mag_armor" 	 "%闪避提升："
	"DOTA_Tooltip_ability_item_set_shield_agi_1_set_1_bonus_armor" 	 "额外护甲："
	"DOTA_Tooltip_ability_item_set_shield_agi_1_set_1_bonus_agi" 	 "额外敏捷："
	"DOTA_Tooltip_ability_item_set_shield_agi_1_set_1_Lore" 	 "<font color='#0078bd'>两件套效果：</font> \和<font color='#00cc15'>法力和生命恢复：2 * 英雄等级</font> <br>
			<font color='#0078bd'>三件套效果:</font> <br> <font color='#00cc15'>获得全属性加成：3*英雄等级</font> <br> 
			<font color='#0078bd'>四件套效果:</font> <br> <font color='#00cc15'>获得攻速加成：3*英雄等级</font> <br> 
			<font color='#0078bd'>五件套效果:</font> <br> <font color='#00cc15'>有1*英雄等级%的概率造成2倍暴击</font> <br> 
			<font color='#0078bd'>六件套效果:</font> <br> <font color='#00cc15'>获得基础攻击力加成：20*英雄等级</font> <br>"
			
	"DOTA_Tooltip_ability_item_set_weapon_agi_1_set_1" 	 "<font color='#9500ff'>古代刺客之刃</font>"
	"DOTA_Tooltip_ability_item_set_weapon_agi_1_set_1_Description" 	 "一套强大的古代刺客盔甲的一部分。集齐它的所有部件会让你的敌人胆战心惊！
 <font color='#00cc15'>Only heroes with the primary attribute Agility will receive the set bonus!</font>"		
	"DOTA_Tooltip_ability_item_set_weapon_agi_1_set_1_bonus_dmg" 	 "攻击力加成："
	"DOTA_Tooltip_ability_item_set_weapon_agi_1_set_1_bonus_life" 	 "%额外生命偷取："
	"DOTA_Tooltip_ability_item_set_weapon_agi_1_set_1_bonus_agi" 	 "额外敏捷："
	"DOTA_Tooltip_ability_item_set_weapon_agi_1_set_1_Lore" 	 "<font color='#0078bd'>两件套效果：</font> \和<font color='#00cc15'>法力和生命恢复：2 * 英雄等级</font> <br>
			<font color='#0078bd'>三件套效果:</font> <br> <font color='#00cc15'>获得全属性加成：3*英雄等级</font> <br> 
			<font color='#0078bd'>四件套效果:</font> <br> <font color='#00cc15'>获得攻速加成：3*英雄等级</font> <br> 
			<font color='#0078bd'>五件套效果:</font> <br> <font color='#00cc15'>有1*英雄等级%的概率造成2倍暴击</font> <br> 
			<font color='#0078bd'>六件套效果:</font> <br> <font color='#00cc15'>获得基础攻击力加成：20*英雄等级</font> <br>"
				
//================

	"DOTA_Tooltip_ability_item_set_boots_int_1_set_1" 	 "<font color='#9500ff'>古代法师之靴</font>"
	"DOTA_Tooltip_ability_item_set_boots_int_1_set_1_Description" 	 "一套强大的古代法师盔甲的一部分。集齐所有零件将使你成为一个强大的法师！
 <font color='#0078bd'>Only heroes with the primary attribute INTELLIGENT will receive the set bonus!</font>"	
	"DOTA_Tooltip_ability_item_set_boots_int_1_set_1_bonus_speed" 	 "移动速度加成："
	"DOTA_Tooltip_ability_item_set_boots_int_1_set_1_bonus_armor" 	 "额外护甲："
	"DOTA_Tooltip_ability_item_set_boots_int_1_set_1_bonus_int" 	 "额外智力："
	"DOTA_Tooltip_ability_item_set_boots_int_1_set_1_Lore" 	 "<font color='#0078bd'>两件套效果：</font> \和<font color='#00cc15'>法力和生命恢复：2 * 英雄等级</font> <br>
			<font color='#0078bd'>三件套效果:</font> <br> <font color='#00cc15'>获得1.5*英雄等级的魔法恢复速度</font> <br> 
			<font color='#0078bd'>四件套效果:</font> <br> <font color='#00cc15'>获得全属性加成：2*英雄等级</font> <br> 
			<font color='#0078bd'>五件套效果:</font> <br> <font color='#00cc15'>获得冷却缩减：1.33*英雄等级</font> <br> 
			<font color='#0078bd'>六件套效果:</font> <br> <font color='#00cc15'>技能可以多重施法，概率为1*英雄等级%</font> <br>"

	"DOTA_Tooltip_ability_item_set_head_int_1_set_1" 	 "<font color='#9500ff'>古代法师帽</font>"
	"DOTA_Tooltip_ability_item_set_head_int_1_set_1_Description" 	 "一套强大的古代法师盔甲的一部分。集齐所有零件将使你成为一个强大的法师！
 <font color='#0078bd'>Only heroes with the primary attribute INTELLIGENT will receive the set bonus!</font>"	
	"DOTA_Tooltip_ability_item_set_head_int_1_set_1_bonus_mana" 	 "法力上限："
	"DOTA_Tooltip_ability_item_set_head_int_1_set_1_bonus_armor" 	 "额外护甲："
	"DOTA_Tooltip_ability_item_set_head_int_1_set_1_bonus_int" 	 "额外智力："
	"DOTA_Tooltip_ability_item_set_head_int_1_set_1_Lore" 	 "<font color='#0078bd'>两件套效果：</font> \和<font color='#00cc15'>法力和生命恢复：2 * 英雄等级</font> <br>
			<font color='#0078bd'>三件套效果:</font> <br> <font color='#00cc15'>获得1.5*英雄等级的魔法恢复速度</font> <br> 
			<font color='#0078bd'>四件套效果:</font> <br> <font color='#00cc15'>获得全属性加成：2*英雄等级</font> <br> 
			<font color='#0078bd'>五件套效果:</font> <br> <font color='#00cc15'>获得冷却缩减：1.33*英雄等级</font> <br> 
			<font color='#0078bd'>六件套效果:</font> <br> <font color='#00cc15'>技能可以多重施法，概率为1*英雄等级%</font> <br>"
			
	"DOTA_Tooltip_ability_item_set_glov_int_1_set_1" 	 "<font color='#9500ff'>古代法师手套</font>"
	"DOTA_Tooltip_ability_item_set_glov_int_1_set_1_Description" 	 "一套强大的古代法师盔甲的一部分。集齐所有零件将使你成为一个强大的法师！
 <font color='#0078bd'>Only heroes with the primary attribute INTELLIGENT will receive the set bonus!</font>"	
	"DOTA_Tooltip_ability_item_set_glov_int_1_set_1_bonus_attack_speed" 	 "攻速加成："
	"DOTA_Tooltip_ability_item_set_glov_int_1_set_1_bonus_armor" 	 "额外护甲："
	"DOTA_Tooltip_ability_item_set_glov_int_1_set_1_bonus_int" 	 "额外智力："
	"DOTA_Tooltip_ability_item_set_glov_int_1_set_1_Lore" 	 "<font color='#0078bd'>两件套效果：</font> \和<font color='#00cc15'>法力和生命恢复：2 * 英雄等级</font> <br>
			<font color='#0078bd'>三件套效果:</font> <br> <font color='#00cc15'>获得1.5*英雄等级的魔法恢复速度</font> <br> 
			<font color='#0078bd'>四件套效果:</font> <br> <font color='#00cc15'>获得全属性加成：2*英雄等级</font> <br> 
			<font color='#0078bd'>五件套效果:</font> <br> <font color='#00cc15'>获得冷却缩减：1.33*英雄等级</font> <br> 
			<font color='#0078bd'>六件套效果:</font> <br> <font color='#00cc15'>技能可以多重施法，概率为1*英雄等级%</font> <br>"
	
	"DOTA_Tooltip_ability_item_set_shield_int_1_set_1" 	 "<font color='#9500ff'>古代法师手链</font>"
	"DOTA_Tooltip_ability_item_set_shield_int_1_set_1_Description" 	 "一套强大的古代法师盔甲的一部分。集齐所有零件将使你成为一个强大的法师！
 <font color='#0078bd'>Only heroes with the primary attribute INTELLIGENT will receive the set bonus!</font>"	
	"DOTA_Tooltip_ability_item_set_shield_int_1_set_1_bonus_mag_armor" 	 "%额外魔法抗性："
	"DOTA_Tooltip_ability_item_set_shield_int_1_set_1_bonus_armor" 	 "额外护甲："
	"DOTA_Tooltip_ability_item_set_shield_int_1_set_1_bonus_int" 	 "额外智力："
	"DOTA_Tooltip_ability_item_set_shield_int_1_set_1_Lore" 	 "<font color='#0078bd'>两件套效果：</font> \和<font color='#00cc15'>法力和生命恢复：2 * 英雄等级</font> <br>
			<font color='#0078bd'>三件套效果:</font> <br> <font color='#00cc15'>获得1.5*英雄等级的魔法恢复速度</font> <br> 
			<font color='#0078bd'>四件套效果:</font> <br> <font color='#00cc15'>获得全属性加成：2*英雄等级</font> <br> 
			<font color='#0078bd'>五件套效果:</font> <br> <font color='#00cc15'>获得冷却缩减：1.33*英雄等级</font> <br> 
			<font color='#0078bd'>六件套效果:</font> <br> <font color='#00cc15'>技能可以多重施法，概率为1*英雄等级%</font> <br>"
			
	"DOTA_Tooltip_ability_item_set_weapon_int_1_set_1" 	 "<font color='#9500ff'>古代法师之杖</font>"
	"DOTA_Tooltip_ability_item_set_weapon_int_1_set_1_Description" 	 "一套强大的古代法师盔甲的一部分。集齐所有零件将使你成为一个强大的法师！
 <font color='#0078bd'>Only heroes with the primary attribute INTELLIGENT will receive the set bonus!</font>"	
	"DOTA_Tooltip_ability_item_set_weapon_int_1_set_1_bonus_dmg" 	 "每点智力增加技能增强%："
	"DOTA_Tooltip_ability_item_set_weapon_int_1_set_1_bonus_life" 	 "%额外法术吸血："
	"DOTA_Tooltip_ability_item_set_weapon_int_1_set_1_bonus_int" 	 "额外智力："
	"DOTA_Tooltip_ability_item_set_weapon_int_1_set_1_Lore" 	 "<font color='#0078bd'>两件套效果：</font> \和<font color='#00cc15'>法力和生命恢复：2 * 英雄等级</font> <br>
			<font color='#0078bd'>三件套效果:</font> <br> <font color='#00cc15'>获得1.5*英雄等级的魔法恢复速度</font> <br> 
			<font color='#0078bd'>四件套效果:</font> <br> <font color='#00cc15'>获得全属性加成：2*英雄等级</font> <br> 
			<font color='#0078bd'>五件套效果:</font> <br> <font color='#00cc15'>获得冷却缩减：1.33*英雄等级</font> <br> 
			<font color='#0078bd'>六件套效果:</font> <br> <font color='#00cc15'>技能可以多重施法，概率为1*英雄等级%</font> <br>"
			
	"DOTA_Tooltip_ability_item_set_armor_int_1_set_1" 	 "<font color='#9500ff'>古代法师盔甲</font>"
	"DOTA_Tooltip_ability_item_set_armor_int_1_set_1_Description" 	 "强大的古代法师盔甲套装的一部分。集齐所有零件将使您成为强大的法师！<br> <font color='#0078bd'>只有具有主要属性智力的英雄才能获得套装奖励！</font> <br> 将所有被动生命恢复提高 %bonus_hp%%%"
	"DOTA_Tooltip_ability_item_set_armor_int_1_set_1_bonus_hp_reg" 	 "每秒恢复生命值百分比："
	"DOTA_Tooltip_ability_item_set_armor_int_1_set_1_bonus_mp_reg" 	 "每秒恢复魔法百分比："
	"DOTA_Tooltip_ability_item_set_armor_int_1_set_1_bonus_armor" 	 "额外护甲："
	"DOTA_Tooltip_ability_item_set_armor_int_1_set_1_bonus_int" 	 "额外智力："
	"DOTA_Tooltip_ability_item_set_armor_int_1_set_1_Lore" 	 "<font color='#0078bd'>两件套效果：</font> \和<font color='#00cc15'>法力和生命恢复：2 * 英雄等级</font> <br>
			<font color='#0078bd'>三件套效果:</font> <br> <font color='#00cc15'>获得1.5*英雄等级的魔法恢复速度</font> <br> 
			<font color='#0078bd'>四件套效果:</font> <br> <font color='#00cc15'>获得全属性加成：2*英雄等级</font> <br> 
			<font color='#0078bd'>五件套效果:</font> <br> <font color='#00cc15'>获得冷却缩减：1.33*英雄等级</font> <br> 
			<font color='#0078bd'>六件套效果:</font> <br> <font color='#00cc15'>技能可以多重施法，概率为1*英雄等级%</font> <br>"
			
//================================================================================================SET 2================================================================================================	
//================================================================================================================================================================================================	

	"DOTA_Tooltip_ability_item_set_boots_str_1_set_2" 	 "<font color='#9500ff'>古代斯巴达之靴</font>"
	"DOTA_Tooltip_ability_item_set_boots_str_1_set_2_Description" 	 "强大的古代斯巴达盔甲的一部分。集齐所有零件将使您坚不可摧！
 <font color='#FF0000'>Only heroes with the main attribute STRENGTH will receive the set bonus!</font>"	
	"DOTA_Tooltip_ability_item_set_boots_str_1_set_2_bonus_speed" 	 "移动速度加成："
	"DOTA_Tooltip_ability_item_set_boots_str_1_set_2_bonus_armor" 	 "额外护甲："
	"DOTA_Tooltip_ability_item_set_boots_str_1_set_2_bonus_hp" 	 "最大生命值："
	"DOTA_Tooltip_ability_item_set_boots_str_1_set_2_Lore" 	 "<font color='#0078bd'>两件套效果：</font> \和 <font color='#00cc15'>提升护甲 = 英雄等级</font> <br>
			<font color='#0078bd'>三件套效果:</font> <br> <font color='#00cc15'>获得力量：3*英雄等级</font> <br> 
			<font color='#0078bd'>四件套效果:</font> <br> <font color='#00cc15'>生命最大值恢复：3%每秒</font> <br> 
			<font color='#0078bd'>五件套效果:</font> <br> <font color='#00cc15'>提高魔法抗性：2*英雄等级</font> <br> 
			<font color='#0078bd'>六件套效果:</font> <br> <font color='#00cc15'>每当受到攻击时对敌人反弹100+10%的伤害</font> <br>"
								
	"DOTA_Tooltip_ability_item_set_head_str_1_set_2" 	 "<font color='#9500ff'>古代斯巴达头盔</font>"
	"DOTA_Tooltip_ability_item_set_head_str_1_set_2_Description" 	 "强大的古代斯巴达盔甲的一部分。集齐所有零件将使您坚不可摧！
 <font color='#FF0000'>Only heroes with the main attribute STRENGTH will receive the set bonus!</font>"
	"DOTA_Tooltip_ability_item_set_head_str_1_set_2_bonus_mana_regen" 	 "法力回复加成："
	"DOTA_Tooltip_ability_item_set_head_str_1_set_2_bonus_armor" 	 "额外护甲："
	"DOTA_Tooltip_ability_item_set_head_str_1_set_2_bonus_str" 	 "额外力量："
	"DOTA_Tooltip_ability_item_set_head_str_1_set_2_Lore" 	 "<font color='#0078bd'>两件套效果：</font> \和 <font color='#00cc15'>提升护甲 = 英雄等级</font> <br>
			<font color='#0078bd'>三件套效果:</font> <br> <font color='#00cc15'>获得力量：3*英雄等级</font> <br> 
			<font color='#0078bd'>四件套效果:</font> <br> <font color='#00cc15'>生命最大值恢复：3%每秒</font> <br> 
			<font color='#0078bd'>五件套效果:</font> <br> <font color='#00cc15'>提高魔法抗性：2*英雄等级</font> <br> 
